Rank,Team,GM,W-L,FGM,FGA,FG%
334,St. Francis Brooklyn (NEC),30,14-16,688,"1,701",40.4
335,Prairie View (SWAC),32,13-19,773,"1,914",40.4
336,South Carolina (SEC),32,11-21,744,"1,846",40.3
337,Columbia (Ivy League),29,7-22,696,"1,728",40.3
338,Wagner (NEC),28,15-13,655,"1,627",40.3
339,Seattle U (WAC),32,20-12,786,"1,953",40.2
340,Monmouth (CAA),33,7-26,746,"1,856",40.2
341,CSUN (Big West),32,7-25,695,"1,735",40.1
342,New Hampshire (America East),30,15-15,696,"1,749",39.8
343,Evansville (MVC),32,5-27,729,"1,839",39.6
344,Rhode Island (Atlantic 10),31,9-22,696,"1,765",39.4
345,Green Bay (Horizon),32,3-29,656,"1,665",39.4
346,Hampton (CAA),32,8-24,759,"1,934",39.2
347,Kansas City (Summit League),32,11-21,723,"1,844",39.2
348,Ark.-Pine Bluff (SWAC),31,10-21,701,"1,791",39.1
349,Saint Peter's (MAAC),32,14-18,716,"1,830",39.1
350,California (Pac-12),32,3-29,662,"1,694",39.1
351,Florida A&M (SWAC),29,7-22,595,"1,536",38.7
352,Alabama St. (SWAC),31,8-23,683,"1,821",37.5
