Rank,Team,GM,W-L,FT,FTA,FT%
332,Northwestern St. (Southland),32,9-23,437,663,65.9
333,Mississippi Val. (SWAC),31,1-30,350,532,65.8
334,Rutgers (Big Ten),32,15-17,417,634,65.8
335,Arizona St. (Pac-12),32,14-18,412,629,65.5
336,Brown (Ivy League),31,13-18,394,603,65.3
337,Iona (MAAC),33,16-17,369,566,65.2
338,Utah (Pac-12),37,22-15,406,625,65
339,Rhode Island (Atlantic 10),32,12-20,461,713,64.7
340,Houston Christian (Southland),29,6-23,409,635,64.4
341,Loyola Maryland (Patriot),32,7-25,345,536,64.4
342,Pacific (WCC),32,6-26,418,650,64.3
343,USC Upstate (Big South),30,10-20,340,530,64.2
344,Virginia (ACC),34,23-11,304,477,63.7
345,Gardner-Webb (Big South),33,17-16,443,702,63.1
346,Western Mich. (MAC),32,12-20,372,595,62.5
347,Canisius (MAAC),32,14-18,338,541,62.5
348,Wofford (SoCon),32,17-15,330,532,62
349,Western Ill. (OVC),33,21-12,425,691,61.5
350,Saint Francis (PA) (NEC),30,8-22,336,551,61
351,Army West Point (Patriot),32,10-22,264,449,58.8
