Rank,Team,GM,W-L,PTS,PPG
305,Cal St. Fullerton (Big West),32,14-18,"2,172",67.9
306,Idaho (Big Sky),32,11-21,"2,170",67.8
307,New Mexico St. (CUSA),32,13-19,"2,166",67.7
308,Grambling (SWAC),36,21-15,"2,436",67.7
308,Fresno St. (Mountain West),33,12-21,"2,233",67.7
310,Maine (America East),32,15-17,"2,164",67.6
311,Charleston So. (Big South),30,10-20,"2,028",67.6
312,Valparaiso (MVC),32,7-25,"2,163",67.6
313,Towson (CAA),34,20-14,"2,296",67.5
314,Tennessee Tech (OVC),31,10-21,"2,089",67.4
315,California Baptist (WAC),33,16-17,"2,222",67.3
316,Florida A&M (SWAC),29,6-23,"1,949",67.2
317,Sacramento St. (Big Sky),34,10-24,"2,282",67.1
318,Southeast Mo. St. (OVC),31,9-22,"2,078",67
319,LIU (NEC),29,7-22,"1,929",66.5
320,Illinois St. (MVC),32,15-17,"2,128",66.5
321,Holy Cross (Patriot),33,10-23,"2,194",66.5
322,Central Mich. (MAC),32,18-14,"2,127",66.5
323,Boston U. (Patriot),33,16-17,"2,193",66.5
324,Navy (Patriot),31,13-18,"2,060",66.5
325,Manhattan (MAAC),30,7-23,"1,985",66.2
326,Air Force (Mountain West),31,9-22,"2,051",66.2
327,Eastern Mich. (MAC),31,13-18,"2,047",66
328,UCLA (Pac-12),33,16-17,"2,177",66
329,Detroit Mercy (Horizon),32,1-31,"2,111",66
330,IU Indy (Horizon),32,6-26,"2,108",65.9
331,Middle Tenn. (CUSA),33,14-19,"2,167",65.7
332,N.C. A&T (CAA),32,7-25,"2,098",65.6
333,Rutgers (Big Ten),32,15-17,"2,092",65.4
334,Bucknell (Patriot),33,14-19,"2,153",65.2
335,UMES (MEAC),29,9-20,"1,890",65.2
336,Saint Francis (PA) (NEC),30,8-22,"1,955",65.2
337,Saint Peter's (MAAC),33,19-14,"2,140",64.8
338,DePaul (Big East),32,3-29,"2,071",64.7
338,Pacific (WCC),32,6-26,"2,071",64.7
340,Marist (MAAC),31,18-13,"2,004",64.6
341,Loyola Maryland (Patriot),32,7-25,"2,049",64
342,Notre Dame (ACC),33,13-20,"2,113",64
343,Wagner (NEC),33,17-16,"2,103",63.7
344,Cal Poly (Big West),32,4-28,"2,037",63.7
345,Virginia (ACC),34,23-11,"2,140",62.9
346,Lafayette (Patriot),32,11-21,"2,010",62.8
347,Dartmouth (Ivy League),27,6-21,"1,670",61.9
348,Siena (MAAC),32,4-28,"1,934",60.4
349,Army West Point (Patriot),32,10-22,"1,930",60.3
350,Coppin St. (MEAC),29,2-27,"1,678",57.9
351,Mississippi Val. (SWAC),31,1-30,"1,719",55.5
