Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG
Cincinnati (Big 12),,280,849,22.9,555,15.0,12,"1,460",39.46,439,638,68.8,492,13.3,7.6,22,15,59.5,"1,192",32.2,7.2,"2,522",68.2,6.6,968,26.16,445,12.03,540,445,1.21,33.0,"1,023","2,310",44.3,11.9,900,"2,148",41.9,747,251,33.6,"2,765",74.7,17.2
Clemson (ACC),6,296,844,23.4,585,16.3,13,"1,308",36.33,507,650,78.0,326,9.06,8.2,24,12,66.7,"1,226",34.1,2.3,"2,563",71.2,6.2,982,27.28,341,9.47,533,363,1.47,35.1,991,"2,115",46.9,14.1,885,"2,140",41.4,879,291,33.1,"2,785",77.4,18.1
Cleveland St. (Horizon),,232,697,19.4,658,18.3,8,"1,267",35.19,475,711,66.8,455,12.64,6.4,21,15,58.3,"1,321",36.7,-1.5,"2,622",72.8,2.6,812,22.56,497,13.81,477,370,1.29,33.3,"1,005","2,246",44.7,13.2,929,"2,047",45.4,784,234,29.8,"2,717",75.5,19.8
Coastal Carolina (Sun Belt),,201,626,20.2,496,16.0,8,"1,250",40.32,409,616,66.4,353,11.39,6.5,9,22,29.0,"1,172",37.8,2.5,"2,434",78.5,-5.0,897,28.94,293,9.45,395,420,0.94,32.1,835,"1,880",44.4,13.2,856,"2,035",42.1,935,308,32.9,"2,280",73.5,19.9
Charleston (CAA),13,368,"1,072",30.6,558,15.9,3,"1,392",39.77,452,626,72.2,457,13.06,10.5,27,8,77.1,"1,230",35.1,4.6,"2,575",73.6,7.3,935,26.71,403,11.51,536,348,1.54,34.3,"1,006","2,278",44.2,12.9,939,"2,112",44.5,784,269,34.3,"2,832",80.9,17.9
Colgate (Patriot),14,272,757,21.6,468,13.4,6,"1,245",35.57,368,540,68.1,286,8.17,7.8,25,10,71.4,"1,156",33.0,2.5,"2,242",64.1,7.3,959,27.4,393,11.23,526,368,1.43,35.9,929,"1,979",46.9,10.5,834,"2,020",41.3,812,249,30.7,"2,498",71.4,15.4
Colorado (Pac-12),10,254,649,17.5,548,14.8,4,"1,367",36.95,583,744,78.4,368,9.95,6.9,26,11,70.3,"1,117",30.2,6.8,"2,654",71.7,7.6,999,27.0,392,10.59,600,467,1.28,39.1,"1,049","2,121",49.5,15.8,984,"2,234",44.0,787,252,32.0,"2,935",79.3,20.1
Colorado St. (Mountain West),10,264,781,21.7,613,17.0,14,"1,203",33.42,483,642,75.2,283,7.86,7.3,25,11,69.4,"1,180",32.8,0.6,"2,422",67.3,7.9,920,25.56,415,11.53,648,376,1.72,33.8,980,"2,024",48.4,13.4,865,"2,030",42.6,684,220,32.2,"2,707",75.2,17.8
Columbia (Ivy League),,231,616,22.8,437,16.2,3,964,35.7,349,477,73.2,265,9.81,8.6,13,14,48.1,902,33.4,2.3,"1,956",72.4,4.5,699,25.89,336,12.44,471,330,1.43,37.5,749,"1,597",46.9,12.9,709,"1,616",43.9,695,226,32.5,"2,078",77.0,17.7
Coppin St. (MEAC),,153,540,18.6,513,17.7,11,873,30.1,355,489,72.6,283,9.76,5.3,2,27,6.9,"1,135",39.1,-9.0,"2,112",72.8,-15.0,590,20.34,431,14.86,240,455,0.53,28.3,585,"1,571",37.2,12.2,723,"1,613",44.8,606,209,34.5,"1,678",57.9,16.9
Cornell (Ivy League),,310,892,29.7,549,18.3,12,"1,063",35.43,363,502,72.3,287,9.57,10.3,22,8,73.3,"1,069",35.6,-0.2,"2,241",74.7,7.4,776,25.87,402,13.4,544,366,1.49,34.8,895,"1,836",48.7,12.1,806,"1,828",44.1,760,253,33.3,"2,463",82.1,16.7
Creighton (Big East),3,375,"1,018",29.1,403,11.5,0,"1,334",38.11,408,518,78.8,294,8.4,10.7,25,10,71.4,"1,176",33.6,4.5,"2,446",69.9,10.5,"1,040",29.71,266,7.6,588,372,1.58,36.8,"1,016","2,101",48.4,11.7,972,"2,324",41.8,648,209,32.3,"2,815",80.4,14.8
